crime_id,entities,entity_count,class_classification
68089e176c09314dea8fb3b8,"8c, 20biia, 20, 27b, 27",5,Small
6808b842b5db4a83ea84a818,"8c, 20biia, 20, 27b, 27",5,Small
6808ba504cef0e2b3c304399,"8c, 20biia, 20",3,Small
6808c64fd112d927ef6ed6b9,"8c, 20biia, 20, 27b, 27",5,Small
6808e9554cef0e11c63f8bfe,"8c, 20biia, 20, 27b, 27",5,Small
6808ff034cef0e6c93439a9f,"8c, 20biia, 20, 27",4,Small
68090d984cef0e8448446068,27,1,Small
680914529f3e13268b37f08f,"8c, 20biia, 20, 27b, 27",5,Small
68092a97801fc0307da3eae8,"8c, 20biib, 20, 27b, 27",5,Intermediate
68093383801fc03c5ca418cd,"20biic, 20",2,Commercial
6809baf721bcf8d34f21ad19,"3184, 318, 4, 3162, 316, 2, 22c, 22, 21c, 21, 27",11,Commercial
680a29684cef0e5b0e8a3e6c,"8c, 22c, 22, 29",4,Commercial
680a70999f3e13a2a882479b,"20biia, 20",2,Small
680a8270d112d9f77cca2260,"27b, 27",2,Small
680b042ffa62557c37774876,"8c, 20biib, 20, 27",4,Intermediate
680b25f64cef0ee1a19d72c9,"8c, 20biia, 20, 27b, 27",5,Small
680b6dced831195f09f24711,"8c, 20biib, 20",3,Intermediate
680bacddb5db4a50040cb6a4,"8c, 18b, 18",3,Intermediate
680bc177801fc09eb52732f8,"8c, 20biib, 20",3,Intermediate
680bc767d112d91e8f1479f4,"8c, 20biia, 20, 27a, 27",5,Small
680bd526d112d92aec14f66a,"20biia, 20, 27",3,Small
680be42921bcf877f88552db,"8c, 20biib, 20, 27",4,Intermediate
680bf05cd112d91cf4156250,"8c, 20biib, 20",3,Intermediate
680bffccb5db4a18e00ee1db,"8c, 22a, 22, 22c, 27a, 27, 29",7,Commercial
680c5f50fa6255ca56ac2adf,"8c, 20biia, 20, 27",4,Small
680c91e8d112d99da245436a,"20b2a, 8c",2,Small
680cabf19f3e137636faee40,"8c, 20biia, 20, 27b, 27",5,Small
680ccbc14cef0e5df4fb2809,"8c, 20biib, 20, 27b, 27",5,Intermediate
680cd15e9f3e130ea702cd42,"20biia, 20, 27",3,Small
680cd2eea62fdbdb87c05e13,"20ai, 20",2,Cultivation
680cfdcb801fc0ab9a69cc21,"8c, 20biia, 20",3,Small
680d3b51b5db4a3bab5006af,"8c, 20biia, 20, 27",4,Small
680e55ce9f3e13ae58230837,"8c, 20biia, 20, 27b",4,Small
680e70f39f3e1324b523c133,"8c, 20biia, 20, 29",4,Small
680f202321bcf81976ca5455,"20biib, 20, 27",3,Intermediate
680f3154a62fdb3210079637,"8c, 20biib, 20",3,Intermediate
680f42cfcfee6d9bfdca2d8c,"20biia, 20",2,Small
680f70189f3e13b4bd6af6b3,"8c, 20biib, 20, 29",4,Intermediate
680f7365d83119ccb38f1102,27,1,Small
680fa4c9a62fdba92a32f82f,"8c, 20biib, 20, 27b, 27",5,Intermediate
680fba76801fc019dfd1b534,"8c, 20biib, 20",3,Intermediate
680fbfaed83119e5e0975ca5,"20biia, 20, 27",3,Small
680fe520fa6255797c158cb8,"8b, 8, 20ai, 20",4,Cultivation
680fecb3d83119d7d898cc67,"8b, 8, 20ai, 20",4,Cultivation
680ff1eccfee6d5872e7a06c,"8b, 8, 20ai, 20",4,Cultivation
680ff5f5cfee6d8204e7a491,"8b, 8, 20ai, 20",4,Cultivation
68102c52fa62555a861a6c22,"8c, 20biib, 20, 22c, 22, 27b, 27",7,Commercial
68104dda21bcf82c8df79cb2,"8c, 20biia, 20, 27b, 27",5,Small
68104fa1801fc0d93bd79e39,"8c, 20biia, 20, 27",4,Small
6810af23d112d96938f799a6,"8c, 22b, 22, 29",4,Intermediate
6810cf67a62fdb0270783de2,"8c, 20biib, 20",3,Intermediate
