crime_id,entity,entity_classification
68089e176c09314dea8fb3b8,8c,small
68089e176c09314dea8fb3b8,20biia,small
68089e176c09314dea8fb3b8,20,small
68089e176c09314dea8fb3b8,27b,small
68089e176c09314dea8fb3b8,27,small
6808b842b5db4a83ea84a818,8c,small
6808b842b5db4a83ea84a818,20biia,small
6808b842b5db4a83ea84a818,20,small
6808b842b5db4a83ea84a818,27b,small
6808b842b5db4a83ea84a818,27,small
6808ba504cef0e2b3c304399,8c,small
6808ba504cef0e2b3c304399,20biia,small
6808ba504cef0e2b3c304399,20,small
6808c64fd112d927ef6ed6b9,8c,small
6808c64fd112d927ef6ed6b9,20biia,small
6808c64fd112d927ef6ed6b9,20,small
6808c64fd112d927ef6ed6b9,27b,small
6808c64fd112d927ef6ed6b9,27,small
6808e9554cef0e11c63f8bfe,8c,small
6808e9554cef0e11c63f8bfe,20biia,small
6808e9554cef0e11c63f8bfe,20,small
6808e9554cef0e11c63f8bfe,27b,small
6808e9554cef0e11c63f8bfe,27,small
6808ff034cef0e6c93439a9f,8c,small
6808ff034cef0e6c93439a9f,20biia,small
6808ff034cef0e6c93439a9f,20,small
6808ff034cef0e6c93439a9f,27,small
68090d984cef0e8448446068,27,small
680914529f3e13268b37f08f,8c,small
680914529f3e13268b37f08f,20biia,small
680914529f3e13268b37f08f,20,small
680914529f3e13268b37f08f,27b,small
680914529f3e13268b37f08f,27,small
68092a97801fc0307da3eae8,8c,small
68092a97801fc0307da3eae8,20biib,intermediate
68092a97801fc0307da3eae8,20,small
68092a97801fc0307da3eae8,27b,small
68092a97801fc0307da3eae8,27,small
68093383801fc03c5ca418cd,20biic,commercial
68093383801fc03c5ca418cd,20,small
6809baf721bcf8d34f21ad19,3184,small
6809baf721bcf8d34f21ad19,318,small
6809baf721bcf8d34f21ad19,4,small
6809baf721bcf8d34f21ad19,3162,small
6809baf721bcf8d34f21ad19,316,small
6809baf721bcf8d34f21ad19,2,small
6809baf721bcf8d34f21ad19,22c,commercial
6809baf721bcf8d34f21ad19,22,small
6809baf721bcf8d34f21ad19,21c,commercial
6809baf721bcf8d34f21ad19,21,small
6809baf721bcf8d34f21ad19,27,small
680a29684cef0e5b0e8a3e6c,8c,small
680a29684cef0e5b0e8a3e6c,22c,commercial
680a29684cef0e5b0e8a3e6c,22,small
680a29684cef0e5b0e8a3e6c,29,small
680a70999f3e13a2a882479b,20biia,small
680a70999f3e13a2a882479b,20,small
680a8270d112d9f77cca2260,27b,small
680a8270d112d9f77cca2260,27,small
680b042ffa62557c37774876,8c,small
680b042ffa62557c37774876,20biib,intermediate
680b042ffa62557c37774876,20,small
680b042ffa62557c37774876,27,small
680b25f64cef0ee1a19d72c9,8c,small
680b25f64cef0ee1a19d72c9,20biia,small
680b25f64cef0ee1a19d72c9,20,small
680b25f64cef0ee1a19d72c9,27b,small
680b25f64cef0ee1a19d72c9,27,small
680b6dced831195f09f24711,8c,small
680b6dced831195f09f24711,20biib,intermediate
680b6dced831195f09f24711,20,small
680bacddb5db4a50040cb6a4,8c,small
680bacddb5db4a50040cb6a4,18b,intermediate
680bacddb5db4a50040cb6a4,18,small
680bc177801fc09eb52732f8,8c,small
680bc177801fc09eb52732f8,20biib,intermediate
680bc177801fc09eb52732f8,20,small
680bc767d112d91e8f1479f4,8c,small
680bc767d112d91e8f1479f4,20biia,small
680bc767d112d91e8f1479f4,20,small
680bc767d112d91e8f1479f4,27a,small
680bc767d112d91e8f1479f4,27,small
680bd526d112d92aec14f66a,20biia,small
680bd526d112d92aec14f66a,20,small
680bd526d112d92aec14f66a,27,small
680be42921bcf877f88552db,8c,small
680be42921bcf877f88552db,20biib,intermediate
680be42921bcf877f88552db,20,small
680be42921bcf877f88552db,27,small
680bf05cd112d91cf4156250,8c,small
680bf05cd112d91cf4156250,20biib,intermediate
680bf05cd112d91cf4156250,20,small
680bffccb5db4a18e00ee1db,8c,small
680bffccb5db4a18e00ee1db,22a,small
680bffccb5db4a18e00ee1db,22,small
680bffccb5db4a18e00ee1db,22c,commercial
680bffccb5db4a18e00ee1db,27a,small
680bffccb5db4a18e00ee1db,27,small
680bffccb5db4a18e00ee1db,29,small
680c5f50fa6255ca56ac2adf,8c,small
680c5f50fa6255ca56ac2adf,20biia,small
680c5f50fa6255ca56ac2adf,20,small
680c5f50fa6255ca56ac2adf,27,small
680c91e8d112d99da245436a,20b2a,small
680c91e8d112d99da245436a,8c,small
680cabf19f3e137636faee40,8c,small
680cabf19f3e137636faee40,20biia,small
680cabf19f3e137636faee40,20,small
680cabf19f3e137636faee40,27b,small
680cabf19f3e137636faee40,27,small
680ccbc14cef0e5df4fb2809,8c,small
680ccbc14cef0e5df4fb2809,20biib,intermediate
680ccbc14cef0e5df4fb2809,20,small
680ccbc14cef0e5df4fb2809,27b,small
680ccbc14cef0e5df4fb2809,27,small
680cd15e9f3e130ea702cd42,20biia,small
680cd15e9f3e130ea702cd42,20,small
680cd15e9f3e130ea702cd42,27,small
680cd2eea62fdbdb87c05e13,20ai,cultivation
680cd2eea62fdbdb87c05e13,20,small
680cfdcb801fc0ab9a69cc21,8c,small
680cfdcb801fc0ab9a69cc21,20biia,small
680cfdcb801fc0ab9a69cc21,20,small
680d3b51b5db4a3bab5006af,8c,small
680d3b51b5db4a3bab5006af,20biia,small
680d3b51b5db4a3bab5006af,20,small
680d3b51b5db4a3bab5006af,27,small
680e55ce9f3e13ae58230837,8c,small
680e55ce9f3e13ae58230837,20biia,small
680e55ce9f3e13ae58230837,20,small
680e55ce9f3e13ae58230837,27b,small
680e70f39f3e1324b523c133,8c,small
680e70f39f3e1324b523c133,20biia,small
680e70f39f3e1324b523c133,20,small
680e70f39f3e1324b523c133,29,small
680f202321bcf81976ca5455,20biib,intermediate
680f202321bcf81976ca5455,20,small
680f202321bcf81976ca5455,27,small
680f3154a62fdb3210079637,8c,small
680f3154a62fdb3210079637,20biib,intermediate
680f3154a62fdb3210079637,20,small
680f42cfcfee6d9bfdca2d8c,20biia,small
680f42cfcfee6d9bfdca2d8c,20,small
680f70189f3e13b4bd6af6b3,8c,small
680f70189f3e13b4bd6af6b3,20biib,intermediate
680f70189f3e13b4bd6af6b3,20,small
680f70189f3e13b4bd6af6b3,29,small
680f7365d83119ccb38f1102,27,small
680fa4c9a62fdba92a32f82f,8c,small
680fa4c9a62fdba92a32f82f,20biib,intermediate
680fa4c9a62fdba92a32f82f,20,small
680fa4c9a62fdba92a32f82f,27b,small
680fa4c9a62fdba92a32f82f,27,small
680fba76801fc019dfd1b534,8c,small
680fba76801fc019dfd1b534,20biib,intermediate
680fba76801fc019dfd1b534,20,small
680fbfaed83119e5e0975ca5,20biia,small
680fbfaed83119e5e0975ca5,20,small
680fbfaed83119e5e0975ca5,27,small
680fe520fa6255797c158cb8,8b,intermediate
680fe520fa6255797c158cb8,8,small
680fe520fa6255797c158cb8,20ai,cultivation
680fe520fa6255797c158cb8,20,small
680fecb3d83119d7d898cc67,8b,intermediate
680fecb3d83119d7d898cc67,8,small
680fecb3d83119d7d898cc67,20ai,cultivation
680fecb3d83119d7d898cc67,20,small
680ff1eccfee6d5872e7a06c,8b,intermediate
680ff1eccfee6d5872e7a06c,8,small
680ff1eccfee6d5872e7a06c,20ai,cultivation
680ff1eccfee6d5872e7a06c,20,small
680ff5f5cfee6d8204e7a491,8b,intermediate
680ff5f5cfee6d8204e7a491,8,small
680ff5f5cfee6d8204e7a491,20ai,cultivation
680ff5f5cfee6d8204e7a491,20,small
68102c52fa62555a861a6c22,8c,small
68102c52fa62555a861a6c22,20biib,intermediate
68102c52fa62555a861a6c22,20,small
68102c52fa62555a861a6c22,22c,commercial
68102c52fa62555a861a6c22,22,small
68102c52fa62555a861a6c22,27b,small
68102c52fa62555a861a6c22,27,small
68104dda21bcf82c8df79cb2,8c,small
68104dda21bcf82c8df79cb2,20biia,small
68104dda21bcf82c8df79cb2,20,small
68104dda21bcf82c8df79cb2,27b,small
68104dda21bcf82c8df79cb2,27,small
68104fa1801fc0d93bd79e39,8c,small
68104fa1801fc0d93bd79e39,20biia,small
68104fa1801fc0d93bd79e39,20,small
68104fa1801fc0d93bd79e39,27,small
6810af23d112d96938f799a6,8c,small
6810af23d112d96938f799a6,22b,intermediate
6810af23d112d96938f799a6,22,small
6810af23d112d96938f799a6,29,small
6810cf67a62fdb0270783de2,8c,small
6810cf67a62fdb0270783de2,20biib,intermediate
6810cf67a62fdb0270783de2,20,small
6810d8e9801fc065040f5240,8c,small
6810d8e9801fc065040f5240,22b,intermediate
6810d8e9801fc065040f5240,22,small
6810d8e9801fc065040f5240,29,small
6810e0d7d112d97c6d07866b,8c,small
6810e0d7d112d97c6d07866b,20biib,intermediate
6810e0d7d112d97c6d07866b,20,small
6810f5cda62fdbeef57a9d30,8c,small
6810f5cda62fdbeef57a9d30,20biia,small
6810f5cda62fdbeef57a9d30,20,small
6810f5cda62fdbeef57a9d30,27b,small
6810f5cda62fdbeef57a9d30,27,small
6810f918d112d9efe7093e57,20biia,small
6810f918d112d9efe7093e57,20,small
6810f918d112d9efe7093e57,27b,small
6810f918d112d9efe7093e57,27,small
6811092db5db4adfc80b58a2,8c,small
6811092db5db4adfc80b58a2,20biia,small
6811092db5db4adfc80b58a2,20,small
6811092db5db4adfc80b58a2,27b,small
6811092db5db4adfc80b58a2,27,small
681111179f3e135c25b50c23,8c,small
681111179f3e135c25b50c23,27b,small
681111179f3e135c25b50c23,27,small
6811117721bcf8128b1df4aa,8c,small
6811117721bcf8128b1df4aa,20biia,small
6811117721bcf8128b1df4aa,20,small
